reaction,count
:ohayo_shrimp:,36668
:ohan_yoyo:,25890
:petpet:,24705
:igyo:,17619
:oyashrimp:,17304
:blobtoofast:,16829
:ablobcatfloofpat:,16426
:otsukaresamadesu:,15131
:kawaii:,14017
:meowhuggies:,9162
:blobcataww:,8067
:ablobcatfloofpatfast:,7161
:n_huhu:,7139
:niganiga_nade:,6975
:kawaii_xtu__i:,6574
:_ne:,6355
:ablobcatnodmeltcry:,6047
:oya_shrimp:,5624
:suge_ltu:,5137
:uwa_xtu:,4985
:aa:,4802
:ohayoo:,4574
:blob_super_nod:,4458
:iinee:,4417
:Shiropuyo_jururi:,4123
:ja_oyoo:,4023
:iina_:,4014
:suteki2:,3999
:yoo__i:,3947
:erashrimp:,3935
:nukeexplosion:,3905
:kusa:,3759
:Shiropuyo_kusa:,3471
:kawaiine:,3432
:Shiropuyo_igyo:,3297
:wakaru:,3257
:blobwani_cheerup:,3208
:ohayougozaimashrimpman:,3143
:omedetougozaimasuza:,3029
:resonyance:,2985
:kyattukya:,2932
:Shiropuyo_kirakiraeye:,2913
:ganbatta_ne:,2906
:utsukushii:,2827
:smiling_meow_cyclops:,2730
:blobcat_huggies:,2693
:ofutonkaketeagemashoune:,2681
:kumapu_ouen:,2678
:blobwani_hungry:,2671
:ablobcatcryingcute:,2644
:jorrycat_yeah:,2631
:Shiropuyo_sugoi:,2560
:yatta_:,2515
:4ttenakuinuanim:,2509
:kokumin_eiyosho:,2498
:ohayo:,2404
:blob_dance4:,2400
:yokaccha_focaccia:,2318
:jorrycat_wow:,2298
:oltu:,2298
:gojiai:,2297
:blob_hyper_nod:,2290
:ablobcat_hyper_nod:,2281
:Shiropuyo_otukare:,2252
:a:,2236
:aruaru:,2229
:saikou:,2225
:kawaekawae:,2202
:ara_suteki:,2157
:araa:,2149
:supertada:,2119
:ouen_shiteru:,2085
:yukkuri_yasunde:,2076
:daijoubuka:,2066
😆,2051
:erait:,2045
:Shiropuyo_wakaru:,2031
:otsu_curry:,2021
:ne_:,2015
:bb_ohayo:,1954
:kawaii2:,1934
:ablobcat_no_dakko:,1920
:ameow_bop:,1911
:Shiropuyo_naruhodo:,1894
:yamo:,1893
:blobdance2:,1868
:naruhodonaa:,1865
:nnala:,1864
:ablobaww:,1855
:iiyumemitene:,1820
:petthex_kumapu_tsuyosugi:,1814
:iine:,1804
:matsuri:,1801
:uoooo:,1801
:Shiropuyo_thankyou:,1799
:jorrycat_smile:,1792
:oremo_yurayura:,1774
:parrot_sorena:,1772
:mogu:,1762
:iizo:,1745
(100 rows)
