reaction,count
:ohayo_shrimp:,2890
:ohan_yoyo:,2072
:petpet:,1910
:oyashrimp:,1592
:ablobcatfloofpat:,1370
:igyo:,1322
:otsukaresamadesu:,1174
:meowhuggies:,1126
:kawaii:,1054
:niganiga_nade:,998
:blobtoofast:,978
:n_huhu:,826
:blobcataww:,766
:ablobcatfloofpatfast:,659
:_ne:,544
:ablobcatnodmeltcry:,533
:kawaii_xtu__i:,525
:ja_oyoo:,521
:Shiropuyo_jururi:,494
:aa:,470
:iinee:,468
:resonyance:,466
:suge_ltu:,447
:uwa_xtu:,443
:kawaiine:,428
:ohayoo:,421
:Shiropuyo_kusa:,411
:jorrycat_smile:,378
:kusa:,360
:oya_shrimp:,360
:ohayougozaimashrimpman:,349
:ablobcatcryingcute:,347
:Shiropuyo_igyo:,342
:iina_:,340
:yoo__i:,337
:smiling_meow_cyclops:,327
:blob_dance4:,327
:jorrycat_yeah:,319
:kyattukya:,315
:suteki2:,311
:wakaru:,303
:jorrycat_wow:,298
:ohayo:,288
:araa:,284
:utsukushii:,279
:daijoubuka:,272
:erashrimp:,271
:ameow_bop:,269
:Shiropuyo_otukare:,268
:happy:,266
:kokumin_eiyosho:,263
:blob_super_nod:,260
:wani_party:,257
:blobwani_hungry:,255
:kumapu_ouen:,236
:ofutonkaketeagemashoune:,233
:supertada:,233
:ara_suteki:,231
:blobwani_cheerup:,228
:4ttenakuinuanim:,225
:Shiropuyo_thankyou:,225
:oshirigadaisuki_kamakurabakufu:,224
:yukkuri_yasunde:,222
:yokaccha_focaccia:,216
:ne_:,215
:oltu:,214
:a:,212
:ippaiotabe:,211
:kawaekawae:,208
:naruhodonya:,206
:blob_hyper_nod:,205
:mrn_penguin_jitabata:,202
:otsukaresama:,202
:sempuki:,201
:Shiropuyo_sugoi:,200
:gojiai:,196
:meow_noddies:,193
:koga_petpet:,191
:Shiropuyo_naruhodo:,189
:jorrygator_wow:,186
:aruaru:,185
:erait:,185
:ablobaww:,182
:tiken:,181
:yatta_:,180
:ganbatta_ne:,179
:saikou:,179
:mrn_penguin_dance1_rapid:,178
:naruhodonaa:,178
:hie:,177
:uhyo:,177
:taisetsu:,177
:yamo:,174
:yoi_ten:,174
:Shiropuyo_kirakiraeye:,168
:sakanamisan_step:,166
:blobcat_boronaki:,164
:oremo_yurayura:,163
:ouen_shiteru:,158
:ablobcat_hyper_nod:,155
(100 rows)
