reaction,count
:ohayo_shrimp:,3907
:petpet:,2340
:ablobcatfloofpat:,1928
:blobtoofast:,1825
:igyo:,1765
:ohan_yoyo:,1757
:otsukaresamadesu:,1627
:oyashrimp:,1465
:kawaii:,1114
:nnala:,944
:n_huhu:,780
:_ne:,772
:ablobcatfloofpatfast:,767
:meowhuggies:,757
:blobcataww:,686
:ohayougozaimashrimpman:,674
:niganiga_nade:,648
:blob_super_nod:,589
:ablobcatnodmeltcry:,561
:uwa_xtu:,519
:ja_oyoo:,503
:Shiropuyo_jururi:,485
:oya_shrimp:,473
:suge_ltu:,464
:erashrimp:,453
:ohayoo:,449
:iinee:,440
:suteki2:,406
:Shiropuyo_kirakiraeye:,401
:kusa:,396
:aa:,390
:iina_:,387
:yoo__i:,374
:wakaru:,346
:kawaii_xtu__i:,329
:Shiropuyo_sugoi:,326
:Shiropuyo_kusa:,315
:kumapu_ouen:,314
:blobwani_cheerup:,294
:yukkuri_yasunde:,283
:resonyance:,282
:yokaccha_focaccia:,278
:kawaiine:,274
:blobwani_hungry:,260
:Shiropuyo_igyo:,259
:kokumin_eiyosho:,257
:ablobcat_hyper_nod:,257
:kyattukya:,256
:naruhodonaa:,240
:ofutonkaketeagemashoune:,240
:ablobcatcryingcute:,230
:ganbatta_ne:,230
:taisetsu:,230
:utsukushii:,227
:parrot_sorena:,226
:saikou:,220
:uoooo:,218
:gojiai:,214
:mogu:,214
:aruaru:,212
:blob_dance4:,212
:Shiropuyo_otukare:,212
:yamo:,205
:omedetougozaimasuza:,204
:ofutondekurunde_agemashoune:,204
:naruhodonya:,202
:yatta_:,194
:ameow_bop:,193
:erait:,192
:smiling_meow_cyclops:,190
:matsuri:,189
:umasou:,186
:meow_noddies:,184
:Shiropuyo_headbang:,184
:4ttenakuinuanim:,183
:a:,183
:iine:,182
:daijoubuka:,181
:ne_:,181
:otabe:,178
:eyes_fidgeting:,178
:chu_heart:,178
:ouen_shiteru:,175
:nukeexplosion:,174
:tiken:,173
:araa:,173
:iizo:,172
:ablobaww:,169
:Shiropuyo_naruhodo:,169
:blobdance2:,169
:iiyumemitene:,168
:kawaekawae:,168
:Shiropuyo_wakaru:,167
:Shiropuyo_okaeri:,166
:supertada:,161
:yattaze:,161
:soudasouda:,161
🤯,160
:otsu_curry:,159
:ablobcat_no_dakko:,154
(100 rows)
