reaction,count
:ohan_yoyo:,2705
:ohayo_shrimp:,2426
:petpet:,1831
:igyo:,1696
:oyashrimp:,1567
:blobtoofast:,1410
:kawaii:,1308
:otsukaresamadesu:,1290
:niganiga_nade:,1283
:ablobcatfloofpat:,1182
:ablobcatfloofpatfast:,810
:meowhuggies:,736
:ablobcatnodmeltcry:,632
:_ne:,559
:n_huhu:,556
:blobcataww:,485
:suge_ltu:,474
:Shiropuyo_kirakiraeye:,472
:kawaii_xtu__i:,468
:aa:,443
:oya_shrimp:,437
:uwa_xtu:,399
:iinee:,394
:blob_hyper_nod:,385
:ohayo:,382
:wakaru:,381
:omedetougozaimasuza:,381
:blob_super_nod:,371
:iina_:,370
:erashrimp:,358
:ja_oyoo:,350
:ganbatta_ne:,349
🩷,348
:Shiropuyo_igyo:,319
:smiling_meow_cyclops:,313
:bb_ohayo:,313
:kusa:,301
:Shiropuyo_kusa:,291
:jorrycat_wow:,288
:Shiropuyo_jururi:,281
:ohayoo:,278
:oltu:,274
:otsukaresama:,272
:suteki2:,264
:blobwani_hungry:,261
:daijoubuka:,256
:kawaiine:,255
:jorrycat_smile:,255
:resonyance:,253
:aruaru:,247
:yukkuri_yasunde:,243
:kumapu_ouen:,240
:yatta_:,237
:jorrycat_yeah:,237
:yoo__i:,237
:ne_:,220
:okiwotsukete:,218
:Shiropuyo_naruhodo:,216
:otsu_curry:,214
:blobcat_huggies:,212
:ablobcat_no_dakko:,211
:gojiai:,210
:blobwani_cheerup:,208
:yokaccha_focaccia:,207
:yamo:,199
🤍,198
:4ttenakuinuanim:,193
:uhyo:,192
:supertada:,192
:niganiga_nade_fast:,189
:kokumin_eiyosho:,188
:ameow_bop:,187
:blob_dance4:,187
:araa:,187
:erait:,186
:ohayougozaimashrimpman:,185
:iiyumemitene:,183
:ablobcat_hyper_nod:,182
:naruhodo:,181
:ouen_shiteru:,176
:ara_suteki:,175
:utsukushii:,169
:4ttenakuinu:,168
:matsuri:,168
:hokaeri:,166
:ablobcatcryingcute:,163
:Shiropuyo_sugoi:,163
😆,160
:oremo_yurayura:,157
:blobcat_boronaki:,157
:polarbear_hayasugi:,152
:kyattukya:,152
:Shiropuyo_thankyou:,146
:Shiropuyo_rooting:,146
:petthex_kumapu_tsuyosugi:,146
:a:,144
:kawayo:,143
:mogu:,143
:naruhodonaa:,142
:sounano:,142
(100 rows)
