reaction,count
:ohayo_shrimp:,2707
:ohan_yoyo:,2543
:blobtoofast:,1817
:nukeexplosion:,1735
:petpet:,1461
:ablobcatfloofpat:,1456
:oyashrimp:,1404
:igyo:,1340
:otsukaresamadesu:,1230
:kawaii:,716
:kawaii_xtu__i:,704
:niganiga_nade:,657
:kyattukya:,600
:blobcat_fu_lookingyou3b:,537
:n_huhu:,494
:meowhuggies:,480
:_ne:,474
:blob_super_nod:,465
:10neko:,454
:suge_ltu:,446
😆,432
:blobwani_cheerup:,417
:blobcataww:,414
:aa:,393
:oya_shrimp:,380
:cat_flehmen:,371
:blobcat_huggies:,325
:hyperhand_from_down_under:,324
:erashrimp:,315
:iina_:,310
:uwa_xtu:,306
:ablobcatnodmeltcry:,303
:ohayo:,299
:bb_ohayo:,295
:happy:,283
:ohayoo:,282
:ablobcatpnd_wanttoeat:,273
:blobcat_watchyou:,272
:oltu:,270
:Shiropuyo_kusa:,261
:kusa:,260
:Shiropuyo_igyo:,254
:yatta_:,252
:iinee:,243
:ne_:,242
:blobdance2:,237
:4ttenakuinuanim:,236
:yoo__i:,236
:ablobcatfloofpatfast:,221
:blob_hanpukuyokotobi:,219
:merrychristmas:,213
:ablobaww:,207
:suteki2:,205
:kawaiine:,204
:blob_dance4:,203
:blob_hyper_nod:,202
:ablobcat_no_dakko:,199
:Shiropuyo_rooting:,196
:fuwao:,193
:ablobcatpnd_tokenaki:,189
:otaku_cry:,188
:otsukaresama:,186
:blobwani_running2:,185
:yokaccha_focaccia:,181
:odabutsu:,180
:lutica_yay:,179
:Shiropuyo_kawaii:,177
:omedetougozaimasuza:,176
:yattaze:,168
:happy_cat:,165
:ohayougozaimashrimpman:,165
:ara_suteki:,165
:wakaru:,164
:resonyance:,164
:aruaru:,161
:Shiropuyo_thankyou:,160
:Shiropuyo_jururi:,160
:ja_oyoo:,159
:kokumin_eiyosho:,158
:Shiropuyo_wakaru:,157
:kumapu_ouen:,156
:4ttenakuinu:,155
:kawayo:,155
:gobuunwo:,153
:meow_yikes:,152
:sou:,152
:oremo_yurayura:,150
:aa_a:,149
🤯,149
:merrychristmas_jp:,147
:ofutonkaketeagemashoune:,144
:a:,140
:gojiai:,139
:smiling_meow_cyclops:,137
:tsuyoi:,136
:blobwani_yum:,136
:otsu_curry:,135
:utsukushii:,131
:iizo:,131
:ganbatta_ne:,128
(100 rows)
