reaction,count
:ohayo_shrimp:,3705
:petpet:,3181
:ohan_yoyo:,2094
:igyo:,1675
:akemashiteomedetougozaimasu:,1342
:ablobcatfloofpat:,1342
:kawaii:,1248
:meowhuggies:,1209
:otsukaresamadesu:,1167
:blobtoofast:,1059
:oyashrimp:,1058
:ablobcatfloofpatfast:,783
:blobcataww:,753
:oya_shrimp:,602
:ganbatta_ne:,524
:uwa_xtu:,513
:suge_ltu:,513
:_ne:,488
:ablobcatnodmeltcry:,486
:n_huhu:,486
:suteki2:,450
:iinee:,447
:iiyumemitene:,446
:yoo__i:,435
:kusa:,427
:erashrimp:,425
:ablobcatcryingcute:,413
:aa:,391
:Shiropuyo_kusa:,374
:jorrycat_yeah:,371
:kyattukya:,363
:ofutonkaketeagemashoune:,362
:Shiropuyo_kirakiraeye:,359
:utsukushii:,349
:Shiropuyo_jururi:,346
:Shiropuyo_sugoi:,345
:petthex_kumapu_tsuyosugi:,334
:blob_super_nod:,317
:a:,313
:daijoubuka:,306
:otsu_curry:,301
:gojiai:,298
:kawaii_xtu__i:,298
:blobcat_huggies:,290
:kumapu_ouen:,287
:wakaru:,285
:ja_oyoo:,281
:kawaiine:,278
:iina_:,272
:matsuri:,271
:kawaekawae:,268
:Shiropuyo_wakaru:,267
:Shiropuyo_otukare:,255
:koga_petpet:,248
:ouen_shiteru:,247
:blobwani_cheerup:,245
:yukkuri_yasunde:,244
:resonyance:,241
:akeome:,231
:ara_suteki:,230
:yoshiko_normal:,228
:smiling_meow_cyclops:,227
:omedetougozaimasuza:,221
:ohayoo:,215
:Shiropuyo_okaeri:,213
:otabe:,211
:yokaccha_focaccia:,210
:blobcat_boronaki:,210
:jorrycat_soshout:,206
:Shiropuyo_rooting:,206
:iine:,203
:erait:,198
:yatta_:,197
:shrimpman_face:,197
:saikou:,191
:araa:,190
:oltu:,188
:Shiropuyo_kawaii:,187
:turete_ikinasai:,187
:mogu:,183
:Shiropuyo_naruhodo:,183
:meow_noddies:,180
:jorrycat_wow:,179
:parrot_sorena:,179
:oremo_yurayura:,178
:Shiropuyo_igyo:,177
:jorrycat_sad:,176
:aruaru:,175
:kokumin_eiyosho:,174
:shrimpuppu:,173
:kinga_shinnen:,172
:iizo:,172
:wakaru_pressure:,171
:blobwani_hungry:,170
:ablobcat_hyper_nod:,170
:lutica_yay:,167
:hie:,166
:blob_dance4:,165
:okiwotsukete:,165
:kawaii2:,165
(100 rows)
