reaction,count
:ohayo_shrimp:,2410
:ohan_yoyo:,2281
:oyashrimp:,2067
:petpet:,1519
:blobtoofast:,1484
:igyo:,1444
:ablobcatfloofpat:,1161
:otsukaresamadesu:,961
:niganiga_nade:,935
:kawaii:,854
:meowhuggies:,786
:blobcataww:,560
:ablobcatnodmeltcry:,534
:kawaii_xtu__i:,505
:ohayoo:,491
:n_huhu:,491
:oya_shrimp:,475
:_ne:,425
:ablobcatfloofpatfast:,381
:ohayo:,366
:omedetougozaimasuza:,350
:bb_ohayo:,349
:ohayougozaimashrimpman:,344
:aa:,344
:iina_:,316
:blob_super_nod:,314
:suge_ltu:,312
:Shiropuyo_igyo:,303
:ja_oyoo:,299
:blobcat_huggies:,296
:iinee:,278
:uwa_xtu:,277
:jorrycat_wow:,273
:erashrimp:,269
:kusa:,264
:Shiropuyo_jururi:,257
:jorrycat_yeah:,253
:ganbatta_ne:,251
😆,245
:suteki2:,239
:wakaru:,233
:blobwani_cheerup:,224
:blobwani_hungry:,222
:september9th_is_kfc_birthday:,214
:kawaiine:,203
:yoo__i:,203
:resonyance:,201
:yatta_:,190
:happy:,189
:ne_:,187
:blob_dance4:,187
:ouen_shiteru:,187
:saikou:,187
:ablobcat_no_dakko:,187
:ofutonkaketeagemashoune:,186
:otsukaresama:,182
:oremo_yurayura:,182
:smiling_meow_cyclops:,174
:blob_hyper_nod:,171
:Shiropuyo_sugoi:,168
:blobcat_boronaki:,164
:ameow_bop:,162
:party_shrimp:,159
:erait:,159
:uoooo:,156
:Shiropuyo_otukare:,155
:yattaze:,155
:iine:,154
:oltu:,154
:naruhodonaa:,153
:otsu_curry:,152
:a:,152
:yamo:,151
:aruaru:,151
:naruhodo:,149
:gojiai:,143
:aluticatfloofpat:,143
:yukkuri_yasunde:,136
:supertada:,135
❤,133
:ablobcatcryingcute:,133
:uhyo:,132
:mogu:,131
:ablobcat_hyper_nod:,131
:daijoubuka:,127
:4ttenakuinuanim:,127
:eeyan:,127
:Shiropuyo_wakaru:,127
:ara_suteki:,126
:sounano:,125
:blobdance2:,123
:tashiebi:,123
:yukkuri_ikou:,122
:parrot_sorena:,121
:oishii:,121
:jorrycat_smile:,121
:kokumin_eiyosho:,119
:chu_heart:,118
:petthex_blobcat_frustration:,117
:Shiropuyo_headbang:,116
(100 rows)
