reaction,count
:ohayo_shrimp:,3075
:ohan_yoyo:,2090
:petpet:,1879
:ablobcatfloofpat:,1473
:oyashrimp:,1378
:igyo:,1375
:blobtoofast:,1375
:kawaii:,1192
:otsukaresamadesu:,970
:blobcataww:,666
:n_huhu:,610
:ohayougozaimashrimpman:,540
:ohayoo:,522
:Shiropuyo_jururi:,516
:meowhuggies:,504
:ja_oyoo:,493
:iinee:,461
:niganiga_nade:,447
:oya_shrimp:,421
:_ne:,407
:kawaii_xtu__i:,379
:ablobcatnodmeltcry:,375
:kawaiine:,372
:aa:,360
:iina_:,344
:suteki2:,340
:uwa_xtu:,336
:ablobcatfloofpatfast:,335
:suge_ltu:,331
:erashrimp:,322
:yoo__i:,319
:blob_super_nod:,315
:resonyance:,290
:kusa:,282
:wakaru:,275
:saikou:,264
:kawaekawae:,251
:ablobaww:,248
:blobwani_hungry:,247
:utsukushii:,241
:ofutonkaketeagemashoune:,231
:Shiropuyo_otukare:,230
:Shiropuyo_sugoi:,227
:ablobcatcryingcute:,211
:yatta_:,200
:kawaii2:,200
:ara_suteki:,191
:4ttenakuinuanim:,189
:jorrycat_soshout:,189
:wani_party2:,187
:ofutondekurunde_agemashoune:,186
:kumapu_ouen:,186
:naruhodonaa:,184
:yamo:,183
:yoi_ten:,183
:chu_heart:,181
:jorrycat_wow:,181
:turete_ikinasai:,175
:aruaru:,175
:kawayo:,174
:happy:,174
:ouen_shiteru:,172
:Shiropuyo_igyo:,172
:smiling_meow_cyclops:,171
:Shiropuyo_thankyou:,169
:iizo:,168
:jorrycat_yeah:,167
:ippaiotabe:,165
:wani_party:,165
:Shiropuyo_kusa:,164
:gojiai:,163
:Shiropuyo_wakaru:,163
:eyes_fidgeting:,161
:yokaccha_focaccia:,160
:uoooo:,158
:iine:,158
:erait:,158
:blob_dance4:,155
:parrot_sorena:,155
:nnala:,155
:a:,153
:eeyan:,153
:araa:,152
❤,150
:blobwani_cheerup:,150
:nukeexplosion:,148
:yukkuri_yasunde:,145
:blobcat_huggies:,144
:mog:,144
:ablobcat_hyper_nod:,143
:naruhodonya:,143
:otsukaresama:,142
🤯,140
:kakkoii:,140
:yosugi2:,139
:blob_hyper_nod:,138
:omedetougozaimasuza:,137
:okiwotsukete:,137
:Shiropuyo_headbang:,136
:itsumo_arigato:,136
(100 rows)
