reaction,count
:ohayo_shrimp:,2363
:ohan_yoyo:,1831
:blobtoofast:,1624
:otsukaresamadesu:,1426
:petpet:,1410
:ablobcatfloofpat:,1394
:oyashrimp:,1348
:igyo:,1248
:kawaii:,872
:blobcataww:,689
:kawaii_xtu__i:,669
:niganiga_nade:,650
:meowhuggies:,626
:ablobcatnodmeltcry:,601
:n_huhu:,490
:_ne:,475
:ohayoo:,465
:oya_shrimp:,431
:blob_super_nod:,427
:ohayougozaimashrimpman:,424
😆,416
:aa:,413
:ablobcatfloofpatfast:,400
:Shiropuyo_igyo:,381
:ohayo:,370
:suge_ltu:,314
:ja_oyoo:,307
:blobwani_cheerup:,285
:iinee:,273
:iina_:,266
:uwa_xtu:,263
:kusa:,259
:bb_ohayo:,259
:Shiropuyo_jururi:,258
:omedetougozaimasuza:,254
:yoo__i:,245
:blob_hyper_nod:,235
:yatta_:,226
:blobcat_huggies:,225
:blobwani_hungry:,216
:kawayo:,202
:erashrimp:,198
:ablobcatcryingcute:,195
:Shiropuyo_kusa:,194
:happy_halloween__ii:,190
:kawaekawae:,186
:ablobcat_hyper_nod:,184
:ne_:,183
:wakaru:,180
:suteki2:,176
:blob_dance4:,174
:Shiropuyo_wakaru:,174
:oltu:,170
:resonyance:,170
:eeyan:,168
:Shiropuyo_otukare:,168
:ofutonkaketeagemashoune:,167
:chu_heart:,164
:smiling_meow_cyclops:,162
:otsu_curry:,159
:jorrycat_yeah:,159
:saikou:,158
:kokumin_eiyosho:,158
:jorrycat_wow:,156
:erait:,155
:blob_hanpukuyokotobi:,154
:kawaiine:,154
:blob_uooo:,152
❤,152
:umasou:,147
:naruhodo:,145
:happy:,142
:aruaru:,142
:4ttenakuinuanim:,141
:blob_magic:,139
:yattaze:,138
:yokaccha_focaccia:,137
:iizo:,134
:oremo_yurayura:,132
:sou:,131
:ameow_bop:,130
:ablobcat_no_dakko:,129
:Shiropuyo_thankyou:,129
:ara_suteki:,126
:kawaii2:,125
:shrimpman_face:,124
:yamo:,123
:Shiropuyo_okaeri:,123
:ganbatta_ne:,122
:wakaru_pressure:,121
:naruhodonya:,121
:Shiropuyo_sugoi:,119
:iihanashi:,119
:araa:,116
:gojiai:,115
:mrn_penguin_baby:,114
:blobdance2:,112
:Shiropuyo_naruhodo:,111
:mogu:,111
:tsuyoi:,109
(100 rows)
