reaction,count
:ohayo_shrimp:,3970
:petpet:,3216
:ohan_yoyo:,1831
:ablobcatfloofpat:,1501
:blobtoofast:,1499
:otsukaresamadesu:,1449
:igyo:,1426
:kawaii:,1250
:oyashrimp:,1067
:ablobcatfloofpatfast:,819
:meowhuggies:,774
:nnala:,716
:n_huhu:,705
:blobcataww:,702
:uwa_xtu:,641
:ablobcatnodmeltcry:,594
:_ne:,583
:oya_shrimp:,581
:suteki2:,537
:suge_ltu:,520
:iina_:,464
:Shiropuyo_kirakiraeye:,440
:Shiropuyo_jururi:,429
:utsukushii:,421
:kawaii_xtu__i:,410
:iinee:,388
:kusa:,379
:Shiropuyo_kusa:,378
:ja_oyoo:,377
:blob_super_nod:,357
:aa:,357
:erashrimp:,356
:ohayoo:,351
:Shiropuyo_sugoi:,343
:ablobcat_hyper_nod:,341
:ganbatta_ne:,333
:yoo__i:,326
:kokumin_eiyosho:,319
:iiyumemitene:,310
:kyattukya:,308
:omedetougozaimasuza:,305
:kumapu_ouen:,304
:blobwani_hungry:,297
:wakaru:,297
:petthex_kumapu_tsuyosugi:,282
:a:,278
:supertada:,276
:shrimpman_face:,276
:ofutonkaketeagemashoune:,273
:ofutondekurunde_agemashoune:,271
:blobcat_huggies:,270
:yokaccha_focaccia:,263
:gojiai:,257
:resonyance:,254
:kawaiine:,249
:thinkhappy:,248
:ouen_shiteru:,247
:blobwani_cheerup:,244
:ablobcatcryingcute:,243
:saikou:,239
:kakke_i:,231
:Shiropuyo_otukare:,231
:iine:,230
:Shiropuyo_rooting:,227
:blobwani_floofpat:,223
:yukkuri_yasunde:,218
:oishisou:,218
:Shiropuyo_okaeri:,217
:naruhodonaa:,217
:jorrycat_yeah:,215
:okiwotsukete:,215
:blobdance2:,212
:aruaru:,212
:ablobaww:,211
:daijoubuka:,211
:blob_dance4:,211
:Shiropuyo_igyo:,211
:otabe:,209
:ara_suteki:,208
:matsuri:,207
:eyes_fidgeting:,201
:wani_party:,201
:erait:,194
:jorrycat_soshout:,193
:mogu:,190
:ablobcat_no_dakko:,186
:araa:,186
:parrot_sorena:,185
:oremo_yurayura:,185
:hokaeri:,184
:odoroki:,183
:nukeexplosion:,183
:dekai:,182
:tsuyoi:,182
:ameow_bop:,181
:smiling_meow_cyclops:,181
:otsu_curry:,179
:rickastley_dance:,177
:Shiropuyo_naruhodo:,176
:kawaii2:,175
(100 rows)
