reaction,count
:ohayo_shrimp:,2352
:ohan_yoyo:,2282
:blobtoofast:,1486
:petpet:,1352
:oyashrimp:,1241
:otsukaresamadesu:,1064
:igyo:,1040
:ablobcatfloofpat:,1016
:nukeexplosion:,954
:kawaii:,897
:kawaii_xtu__i:,662
:meowhuggies:,482
:niganiga_nade:,448
:oya_shrimp:,441
:ohayoo:,434
:blob_super_nod:,427
:4ttenakuinuanim:,419
:blobcataww:,411
:blobwani_cheerup:,388
:n_huhu:,371
:ablobcatfloofpatfast:,368
:ohayo:,364
:Shiropuyo_igyo:,329
😆,327
:iina_:,314
:_ne:,313
:ablobcatnodmeltcry:,275
:suge_ltu:,275
:bb_ohayo:,273
:blobcat_huggies:,268
:omedetougozaimasuza:,267
:ohayougozaimashrimpman:,263
:uwa_xtu:,244
:kyattukya:,242
:Shiropuyo_kusa:,224
:yatta_:,220
:erashrimp:,213
:aa:,196
:blobdance2:,195
:kusa:,194
:happy:,188
:blob_dance4:,182
:suteki2:,180
:gojiai:,180
:blobwani_hungry:,178
:blob_hyper_nod:,177
:iinee:,176
:4ttenakuinu:,174
:yoo__i:,165
:blob_hanpukuyokotobi:,164
:oltu:,164
:Shiropuyo_thankyou:,160
:yattaze:,152
:ablobcat_no_dakko:,151
:ablobcatpnd_oonaki_nade:,149
:blobcat_watchyou:,148
:smiling_meow_cyclops:,148
:kawaii2:,145
:ablobcatpnd_wanttoeat:,141
:uhyo:,137
:kawaiine:,137
:Shiropuyo_jururi:,136
:ohawani:,132
:blob_uooo:,132
🤯,130
:resonyance:,130
:umasou:,128
:chu_heart:,127
:supertada:,123
:yokaccha_focaccia:,122
:jorrycat_yeah:,121
:jorrycat_wow:,121
:odaijini:,121
:Shiropuyo_wakaru:,120
:Shiropuyo_rooting:,119
:Shiropuyo_kawaii:,118
:10neko:,118
:kawayo:,117
:utsukushii:,116
:birthday_omedetou:,116
:wakaru:,116
:kawaekawae:,115
:ofutonkaketeagemashoune:,112
:araa:,112
:Shiropuyo_otukare:,112
:ablobcat_hyper_nod:,107
:matsuri:,107
:Shiropuyo_sugoi:,107
:iizo:,107
:a:,107
:ne_:,106
:mrn_penguin_baby:,106
:Shiropuyo_naruhodo:,105
:ganbatta_ne:,105
:kokumin_eiyosho:,101
:ara_suteki:,101
:ameow_bop:,100
:ablobcatpnd_dancing2:,98
:hie:,98
:eyes_fidgeting:,96
(100 rows)
